applicant_id,customer_id,name,ssn,dob,phone_number,home_address,age,declared_income_monthly,loan_amount,purpose,target_scenario
APP-028,CU-028,Sofia Wright,894-75-2540,07-06-2004,-7132,"9680 Pine Rd, Chicago, IL 36432",22,4510,17494,Debt Consolidation,Thin Credit
APP-029,CU-029,Logan Scott,813-28-5268,12-10-2004,-6513,"6719 Oak Ave, Los Angeles, CA 67799",22,6434,10504,Major Purchase,Thin Credit
APP-030,CU-030,Avery Torres,771-54-2852,16-10-2004,-6974,"9542 Maple Dr, Houston, TX 40354",22,5549,13486,Business Venture,Thin Credit
APP-031,CU-031,Jackson Nguyen,507-37-5468,06-03-1994,-8346,"3819 Oak Ave, Los Angeles, CA 94665",32,4540,64835,Emergency Expenses,High DTI
APP-032,CU-032,Ella Hill,982-78-2838,13-01-1998,-4728,"7509 Elm St, Philadelphia, PA 66570",28,4873,87712,Home Improvement,High DTI
APP-033,CU-033,Levi Flores,709-10-1404,01-04-1994,-4391,"9960 Cedar Ln, Phoenix, AZ 90642",32,5176,64809,Debt Consolidation,High DTI
APP-034,CU-034,Madison Green,587-41-4419,11-02-1977,-1813,"870 Oak Ave, Los Angeles, CA 42049",49,4735,84285,Debt Consolidation,High DTI
APP-035,CU-035,Sebastian Adams,202-47-7881,24-10-1979,-9818,"9650 Elm St, Philadelphia, PA 33386",47,4748,91703,Major Purchase,High DTI
APP-036,CU-036,Scarlett Nelson,429-26-4579,25-08-1988,-9953,"5669 Cedar Ln, Phoenix, AZ 79836",38,4610,77144,Debt Consolidation,High DTI
APP-037,CU-037,Jack Baker,963-76-1666,13-10-1989,-8939,"7670 Pine Rd, Chicago, IL 67108",37,5033,73716,Major Purchase,High DTI
APP-038,CU-038,Victoria Hall,172-35-7190,13-02-1995,-8225,"2978 Pine Rd, Chicago, IL 62796",31,5780,74178,Major Purchase,High DTI
APP-039,CU-039,Owen Rivera,625-68-6126,22-07-1981,-2941,"6606 Elm St, Philadelphia, PA 48638",45,5305,94674,Home Improvement,High DTI
APP-040,CU-040,Aria Campbell,225-53-5632,26-04-1981,-8235,"7661 Maple Dr, Houston, TX 83794",45,4610,66371,Home Improvement,High DTI
APP-041,CU-041,Theodore Mitchell,542-65-1876,05-08-1979,-3975,"1833 Elm St, Philadelphia, PA 11605",47,8530,31613,Home Improvement,Fraud
APP-042,CU-042,Grace Carter,322-15-8489,06-05-1985,-10792,"8937 Washington Blvd, San Antonio, TX 10117",41,8551,44309,Used Car Loan,Fraud
APP-043,CU-043,Samuel Roberts,217-77-9915,10-07-2007,-6362,"2148 Maple Dr, Houston, TX 88477",19,4138,111988,Home Improvement,Fraud
APP-044,CU-044,Chloe Gomez,997-22-6287,24-05-1996,-11147,"2932 Washington Blvd, San Antonio, TX 89767",30,10384,48253,Used Car Loan,Fraud
APP-045,CU-045,Joseph Phillips,236-43-3635,14-11-1994,-7872,"6051 Lakeview Dr, San Diego, CA 97388",32,6872,55828,Major Purchase,Fraud
APP-046,CU-046,Camila Evans,673-13-1600,14-02-2008,-4324,"9610 Oak Ave, Los Angeles, CA 39287",18,5660,111565,Home Improvement,Fraud
APP-047,CU-047,John Turner,715-60-2970,01-09-1987,-3443,"5667 Lakeview Dr, San Diego, CA 66819",39,6692,20408,Business Venture,Missing Documents
APP-048,CU-048,Layla Diaz,510-64-3336,05-08-1980,-4492,"4712 Oak Ave, Los Angeles, CA 53872",46,6932,22326,Business Venture,Missing Documents
APP-049,CU-049,David Parker,146-77-3891,15-07-1998,-2306,"6998 Pine Rd, Chicago, IL 85683",28,6834,17116,Business Venture,Missing Documents
APP-050,CU-050,Bella Cruz,401-21-8783,09-08-1998,-3057,"3631 Pine Rd, Chicago, IL 49915",28,6347,26127,Home Improvement,Missing Documents
APP-051,CU-051,James Vance,415-88-2931,14-11-1988,-4311,"812 Willow St, Miami, FL 33101",37,9500,45000,Debt Consolidation,Terminated Employment
APP-052,CU-052,Sophia Miller,312-99-4012,22-03-1992,-9082,"455 Spruce Ave, Denver, CO 80202",34,6200,25000,Home Improvement,Terminated Employment
APP-053,CU-053,Jackson Reed,618-22-7744,05-09-1985,-1156,"109 Pine St, Seattle, WA 98101",40,11000,65000,Business Venture,Terminated Employment
APP-054,CU-054,Mia Jenkins,215-44-8899,19-07-1995,-7721,"302 Cedar Rd, Austin, TX 78701",31,5400,15000,Used Car Loan,Terminated Employment
