applicant_id,customer_id,name,ssn,dob,phone_number,home_address,age,declared_income_monthly,loan_amount,purpose,target_scenario
APP-030,CU-030,Avery Torres,771-54-2852,16-10-2004,-6974,"9542 Maple Dr, Houston, TX 40354",22,471665,1146310,Business Venture,Thin Credit
APP-031,CU-031,Jackson Nguyen,507-37-5468,06-03-1994,-8346,"3819 Oak Ave, Los Angeles, CA 94665",32,385900,5510975,Emergency Expenses,High DTI
APP-032,CU-032,Ella Hill,982-78-2838,13-01-1998,-4728,"7509 Elm St, Philadelphia, PA 66570",28,414205,7455520,Home Improvement,High DTI
APP-033,CU-033,Levi Flores,709-10-1404,01-04-1994,-4391,"9960 Cedar Ln, Phoenix, AZ 90642",32,439960,5508765,Debt Consolidation,High DTI
APP-034,CU-034,Madison Green,587-41-4419,11-02-1977,-1813,"870 Oak Ave, Los Angeles, CA 42049",49,402475,7164225,Debt Consolidation,High DTI
APP-035,CU-035,Sebastian Adams,202-47-7881,24-10-1979,-9818,"9650 Elm St, Philadelphia, PA 33386",47,403580,7794755,Major Purchase,High DTI
APP-036,CU-036,Scarlett Nelson,429-26-4579,25-08-1988,-9953,"5669 Cedar Ln, Phoenix, AZ 79836",38,391850,6557240,Debt Consolidation,High DTI
APP-037,CU-037,Jack Baker,963-76-1666,13-10-1989,-8939,"7670 Pine Rd, Chicago, IL 67108",37,427805,6265860,Major Purchase,High DTI
APP-038,CU-038,Victoria Hall,172-35-7190,13-02-1995,-8225,"2978 Pine Rd, Chicago, IL 62796",31,491300,6305130,Major Purchase,High DTI
APP-039,CU-039,Owen Rivera,625-68-6126,22-07-1981,-2941,"6606 Elm St, Philadelphia, PA 48638",45,450925,8047290,Home Improvement,High DTI
APP-040,CU-040,Aria Campbell,225-53-5632,26-04-1981,-8235,"7661 Maple Dr, Houston, TX 83794",45,391850,5641535,Home Improvement,High DTI
APP-041,CU-041,Theodore Mitchell,542-65-1876,05-08-1979,-3975,"1833 Elm St, Philadelphia, PA 11605",47,725050,2687105,Home Improvement,Fraud
APP-042,CU-042,Grace Carter,322-15-8489,06-05-1985,-10792,"8937 Washington Blvd, San Antonio, TX 10117",41,726835,3766265,Used Car Loan,Fraud
APP-043,CU-043,Samuel Roberts,217-77-9915,10-07-2007,-6362,"2148 Maple Dr, Houston, TX 88477",19,351730,9518980,Home Improvement,Fraud
APP-044,CU-044,Chloe Gomez,997-22-6287,24-05-1996,-11147,"2932 Washington Blvd, San Antonio, TX 89767",30,882640,4101505,Used Car Loan,Fraud
APP-045,CU-045,Joseph Phillips,236-43-3635,14-11-1994,-7872,"6051 Lakeview Dr, San Diego, CA 97388",32,584120,4745380,Major Purchase,Fraud
APP-046,CU-046,Camila Evans,673-13-1600,14-02-2008,-4324,"9610 Oak Ave, Los Angeles, CA 39287",18,481100,9483025,Home Improvement,Fraud
APP-047,CU-047,John Turner,715-60-2970,01-09-1987,-3443,"5667 Lakeview Dr, San Diego, CA 66819",39,568820,1734680,Business Venture,Missing Documents
APP-048,CU-048,Layla Diaz,510-64-3336,05-08-1980,-4492,"4712 Oak Ave, Los Angeles, CA 53872",46,589220,1897710,Business Venture,Missing Documents
APP-049,CU-049,David Parker,146-77-3891,15-07-1998,-2306,"6998 Pine Rd, Chicago, IL 85683",28,580890,1454860,Business Venture,Missing Documents
APP-050,CU-050,Bella Cruz,401-21-8783,09-08-1998,-3057,"3631 Pine Rd, Chicago, IL 49915",28,539495,2220795,Home Improvement,Missing Documents
APP-051,CU-051,James Vance,415-88-2931,14-11-1988,-4311,"812 Willow St, Miami, FL 33101",37,807500,3825000,Debt Consolidation,Terminated Employment Fraud
APP-052,CU-052,Sophia Miller,312-99-4012,22-03-1992,-9082,"455 Spruce Ave, Denver, CO 80202",34,527000,2125000,Home Improvement,Terminated Employment Fraud
APP-053,CU-053,Jackson Reed,618-22-7744,05-09-1985,-1156,"109 Pine St, Seattle, WA 98101",40,935000,5525000,Business Venture,Terminated Employment Fraud
APP-054,CU-054,Mia Jenkins,215-44-8899,19-07-1995,-7721,"302 Cedar Rd, Austin, TX 78701",31,459000,1275000,Used Car Loan,Terminated Employment Fraud
APP-055,CU-055,Arjun Mehta,512-44-9021,12-08-1984,-8821,"45 MG Road, Bangalore, KA 560001",42,1275000,6800000,Business Expansion,Self-Employed Prime
APP-056,CU-056,Priya Sharma,214-33-8812,29-11-1991,-3341,"102 Link Road, Mumbai, MH 400053",34,340000,2550000,Working Capital,Self-Employed Volatile
